"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BPCL","2018-06-20","437","445","437","443","0.00","3582"
"BPCL","2018-06-21","450","459","442","444","0.23","4718"
"BPCL","2018-06-24","437","452","437","449","1.13","2930"
"BPCL","2018-06-25","449","450","440","440","-2.00","4665"
"BPCL","2018-06-26","440","446","433","439","-0.23","8864"
"BPCL","2018-06-27","434","444","434","439","0.00","12322"
"BPCL","2018-06-28","440","445","438","440","0.23","2400"
"BPCL","2018-07-01","444","444","436","437","-0.23","890"
"BPCL","2018-07-02","439","440","431","436","-1.13","2311"
"BPCL","2018-07-03","436","440","434","435","-0.23","5915"
"BPCL","2018-07-04","434","440","430","435","0.00","8700"
"BPCL","2018-07-05","443","456","436","450","3.45","6650"
"BPCL","2018-07-08","446","455","440","447","-0.67","8332"
"BPCL","2018-07-09","447","448","439","439","-1.79","3790"
"BPCL","2018-07-10","440","444","439","444","1.14","6527"
"BPCL","2018-07-11","445","446","437","441","-0.68","3877"
"BPCL","2018-07-12","448","448","436","438","-0.68","7270"
"BPCL","2018-07-15","438","440","435","440","0.00","3909"
"BPCL","2018-07-16","431","461","431","461","4.34","15117"
"BPCL","2018-07-17","448","448","442","442","-3.28","800"
"BPCL","2018-07-18","442","442","437","442","-0.45","2415"
"BPCL","2018-07-19","440","442","436","442","0.45","4328"
"BPCL","2018-07-22","450","450","435","436","-1.58","3490"
"BPCL","2018-07-23","435","445","433","437","0.46","770"
"BPCL","2018-07-24","431","445","431","440","0.69","2305"
"BPCL","2018-07-25","433","442","433","440","0.00","2076"
"BPCL","2018-07-26","433","446","433","437","-0.68","3230"
"BPCL","2018-07-29","432","440","432","435","-0.46","5700"
"BPCL","2018-07-30","431","440","431","436","0.23","1840"
"BPCL","2018-07-31","444","444","432","438","0.46","4856"
"BPCL","2018-08-01","444","444","436","437","-0.23","890"
"BPCL","2018-08-02","436","442","436","440","0.69","2079"
"BPCL","2018-08-05","439","442","439","442","0.00","2079"
"BPCL","2018-08-06","447","447","439","441","0.23","1320"
"BPCL","2018-08-07","441","446","439","441","0.00","4050"
"BPCL","2018-08-08","433","443","433","443","0.45","1920"
"BPCL","2018-08-09","444","446","436","440","-0.68","3560"
"BPCL","2018-08-12","439","439","433","438","-0.45","1420"
"BPCL","2018-08-13","431","440","431","437","-0.23","1390"
"BPCL","2018-08-14","440","440","434","437","0.23","1220"
"BPCL","2018-08-15","439","449","433","447","2.51","7030"
"BPCL","2018-08-16","449","452","438","446","-0.67","13068"
"BPCL","2018-08-19","450","450","439","439","-1.57","1370"
"BPCL","2018-08-20","438","438","434","436","-0.68","2390"
"BPCL","2018-08-21","436","437","433","433","-0.69","1660"
"BPCL","2018-08-22","429","438","429","434","0.23","900"
"BPCL","2018-08-23","440","440","433","434","0.00","1464"
"BPCL","2018-08-26","429","437","429","433","-0.69","1070"
"BPCL","2018-08-28","430","439","430","434","0.46","1992"
"BPCL","2018-08-29","430","434","430","432","-0.23","4477"
"BPCL","2018-08-30","440","440","430","434","0.46","1845"
"BPCL","2018-09-02","431","438","431","437","0.69","1002"
"BPCL","2018-09-03","433","442","433","442","1.14","5003"
"BPCL","2018-09-04","436","444","436","440","-0.45","3707"
"BPCL","2018-09-05","441","454","440","450","2.27","3020"
"BPCL","2018-09-06","450","450","443","443","-1.56","5277"
"BPCL","2018-09-09","439","456","439","453","2.26","6562"
"BPCL","2018-09-10","445","453","445","451","-0.22","2642"
"BPCL","2018-09-11","450","453","447","453","0.22","410"
"BPCL","2018-09-12","445","450","445","450","-0.66","3730"
"BPCL","2018-09-13","445","464","445","462","3.11","9664"
"BPCL","2018-09-16","455","470","451","460","-0.43","11720"
"BPCL","2018-09-17","464","465","455","458","-1.08","7574"
"BPCL","2018-09-18","458","471","454","464","1.53","6908"
"BPCL","2018-09-20","465","482","464","475","2.37","17024"
"BPCL","2018-09-23","466","488","466","488","2.74","22369"
"BPCL","2018-09-25","496","496","482","491","0.61","28855"
"BPCL","2018-09-26","491","491","480","483","-1.63","27309"
"BPCL","2018-09-27","492","490","471","479","-0.62","9495"
"BPCL","2018-09-30","472","478","468","478","-0.42","4940"
"BPCL","2018-10-01","475","477","470","475","-0.63","18319"
"BPCL","2018-10-02","466","479","466","475","0.00","15243"
"BPCL","2018-10-03","474","478","467","467","-1.68","2350"
"BPCL","2018-10-04","465","470","463","470","0.64","12388"
"BPCL","2018-10-07","465","475","465","472","0.42","15150"
"BPCL","2018-10-08","472","489","466","479","1.48","3180"
"BPCL","2018-10-09","480","486","469","474","-1.04","7730"
"BPCL","2018-10-10","467","475","467","475","0.21","2110"
"BPCL","2018-10-11","470","474","467","473","-0.42","7381"
"BPCL","2018-10-14","475","482","469","477","1.48","2180"
"BPCL","2018-10-15","471","477","467","474","-0.62","1572"
"BPCL","2018-10-21","468","480","468","480","0.63","220"
"BPCL","2018-10-22","471","475","466","475","-1.04","2170"
"BPCL","2018-10-23","484","484","467","468","-1.47","1904"
"BPCL","2018-10-24","470","471","464","468","0.00","6730"
"BPCL","2018-10-25","460","470","460","470","0.43","17614"
"BPCL","2018-10-28","470","473","461","473","0.64","19142"
"BPCL","2018-10-29","473","473","464","468","-1.06","6023"
"BPCL","2018-10-30","468","475","460","465","-0.64","6057"
"BPCL","2018-10-31","463","465","461","463","-0.43","2442"
"BPCL","2018-11-01","472","472","462","470","1.51","1675"
"BPCL","2018-11-04","461","470","461","470","0.00","13929"
"BPCL","2018-11-05","462","469","460","469","-0.21","5031"
"BPCL","2018-11-14","461","469","459","460","-0.22","917"
"BPCL","2018-11-15","460","460","458","458","-0.43","1828"
